Climate Emergency Declaration (CED) data sheet,,,,<-Click link in Cell A1 to view as full-screen directly in Google Drive,,,,,,,,,,,,,,,,,,,
Number of CED places:,,2366,,Total population:,"1,065,477,438",<-includes EU declaration | global % ->,,13.44%,,,,,,,,,,,,,,,
Nations with at least one CED place:,,40,,Total population:,"852,146,370",<-excluding EU declaration,,10.65%,,,,,,,,,,,,,,,
Number of national CEDs:,,18 (& EU),,Total population:,"377,163,097",<-excluding national and EU declarations,,4.71%,,,,,,,,,,,,,,,
Number of subnational state/region CEDs:,,41,,,,,,,,,,,,,,,,,,,,,
"To ask for additions or corrections to this data sheet, email info@cedamia.org",,,,,(See note re targets on the Notes tab),,,,,,,,,,,,,,,,,,
Jurisdictions (by country),,Region,Population,Date,Carbon neutral / net zero target dates,,Declaration type,Minutes / motion text,Media article,CE Action Plan,Council news,Agenda item,Council majority / strongest group,Council composition,C40,ICLEI,Covenant of Mayors,Under2,Carbon Neutral Cities Alliance,Climate Alliance,Cities Power Partnership,Race to Zero,Fossil Fuel Non-proliferation Treaty
Taitung County (臺東縣),,Taiwan,"224,470",26 Nov 2020,,,氣候緊急宣言,https://www.cedamia.org/wp-content/uploads/2020/12/Taitung-CED-English-724x1024.jpg,,,https://www.taitung.gov.tw/News_Content.aspx?n=E4FA0485B2A5071E&s=D1BA9BFB430A28E4&themesite=BAA86C8F16BADDE6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,No. of CEDs,,% of population:,,,,,,,,,,,,,,,,,,,
Taiwan totals:,,4,"8,936,901",37.92%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
UK and dependencies,,603,<-CED total for UK,,,2050,,,,,,,,,,,,,,,,,
See the note on the About tab re the UK parliament declaration.,,,,,,,,"If Minutes cell below is empty, please send us a minutes link if you have one!",,,,,,,,,,,,,,,
Aberdeen City Council,,Scotland,"198,590",27 Mar 2023,2045,,Climate & Nature,,,https://www.aberdeencity.gov.uk/sites/default/files/2021-10/_Council%20Climate%20Change%20Plan%202021-25%20Towards%20a%20Net%20Zero%20and%20Climate%20Resilient%20Council.pdf.pdf,https://www.aberdeencity.gov.uk/news/aberdeen-city-council-declares-climate-and-nature-emergency,,NOC,,,Yes,Yes,,,,,Yes,
Aberystwyth Town Council,,Wales,"16,420",28 Jan 2019,,,Climate & Biodiversity,https://www.aberystwyth.gov.uk/en/council/minutes/319-2019-01-28,http://www.cambrian-news.co.uk/article.cfm?id=127707&headline=Aberystwyth%20council%20latest%20to%20declare%20climate%20emergency&sectionIs=news&searchyear=2019,,,,,,,,,,,,,,
Abingdon Town Council,,England,"33,130",20 Mar 2019,2030,,Declared CE,https://www.abingdon.gov.uk/town-council/climate-emergency,,,,,,,,,,,,,,,
Adur Council,,England,"64,301",18 Jul 2019,2030,2045,Declared 'CE',https://democracy.adur-worthing.gov.uk/ieListDocuments.aspx?CId=159&MId=255&Ver=4,https://www.climateemergency.uk/blog/adur/,https://data.climateemergency.uk/media/data/plans/adur-district-council-e6da934.pdf,,,Conservative,,,,,,,,,,
Albury Parish Council,,England,"1,191",6 May 2021,,,Declared CE,,,,https://alburyparish.org/climate-change/,,,,,,,,,,,,
Alcester Town Council,,England,"6,273",7 Jun 2022,,,Declared CE,https://www.alcester-tc.gov.uk/wp-content/uploads/2022/06/Full-Council-Minutes-07-JUN-22.pdf,https://www.stratford.gov.uk/news/press.cfm/item/137979,,,,,,,,,,,,,,
Aldbourne Parish Council,,England,"1,833",2 Oct 2019,,2030,Acknowledged CE,http://aldbourne-pc.org.uk/wp-content/uploads/2019/10/Oct-2019-minutes.pdf,https://www.marlboroughnewsonline.co.uk/news/8937-aldbourne-declares-a-climate-emergency,,,,,,,,,,,,,,
Alderholt Parish Council,,England,"3,171",10 Jun 2019,,2040,Declared CE,http://www.alderholtparishcouncil.gov.uk/Alderholt-PC/UserFiles/Files/Minutes/2019/190610%20Draft%20Minutes%20APC%20Meeting.pdf,https://www.salisburyjournal.co.uk/news/18390058.three-alderholt-parish-councillors-resign-night/,,,,,,,,,,,,,,
Allerdale Borough Council,,England,"97,761",25 Sep 2019,,2030,Declared CE,https://www.climateemergency.uk/blog/allerdale/,,https://data.climateemergency.uk/councils/allerdale-borough-council/,,,NOC,"Independent 20, Conservative 15, Labour 14",,,,,,,,,
Amber Valley Borough Council,,England,"126,678",24 Jul 2019,2030,,Declared CE,https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/DemocracyJSON.asmx/StreamCommitteeDoc,https://www.ripleyandheanornews.co.uk/news/politics/amber-valley-declared-a-frack-free-zone-at-heated-meeting-1-9900602,https://data.climateemergency.uk/media/data/plans/amber-valley-borough-council-35fda7c.pdf,,https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/DemocracyJSON.asmx/StreamCommitteeDoc,Labour,,,,,,,,,,Yes
Anglesey County Council,,Wales,"69,961",8 Sep 2020,2030,,Declared CE,,https://www.dailypost.co.uk/news/north-wales-news/anglesey-becomes-latest-county-declare-18902899,,,http://democracy.anglesey.gov.uk/ieListDocuments.aspx?CId=127&MId=3678&Ver=4&LLL=0,NOC,,,,,,,,,,
Angus Council,,Scotland,"116,040",5 Sep 2019,,2045,Declared CE,https://www.angus.gov.uk/sites/angus-cms/files/2019-10/05_09_19.pdf,https://www.thecourier.co.uk/fp/news/local/angus-mearns/973275/i-was-on-holiday-in-baliwhat-are-they-doing-for-climate-change-anger-as-angus-councillors-declare-climate-non-emergency/,https://www.angus.gov.uk/the_environment/sustainable_angus/climate_change,,http://www.angus.gov.uk/sites/angus-cms/files/2019-09/Angus%20Council.pdf,NOC,,,,,,,,,,
Ards and North Down Borough Council,,Northern Ireland,"160,864",27 Feb 2019,,,Declared 'CE',https://www.ardsandnorthdown.gov.uk/images/assets/C_27.02.19_WEB_PAPERS.pdf,https://climateemergency.uk/blog/ards-and-north-down/,,,,NOC,"DUP (14), Alliance (10), UUP (8), Green (3), Independent (3), SDLP (1), TUV (1)",,,,,,,,,
Argyll and Bute Council,,Scotland,"86,260",30 Sep 2021,,,Declared CE,https://www.argyll-bute.gov.uk/moderngov/ieListDocuments.aspx?CId=257&MId=14343&Ver=4,https://www.argyllbute24.co.uk/council-declares-climate-emergency/,,,https://www.argyll-bute.gov.uk/moderngov/ieListDocuments.aspx?CId=257&MId=14343&Ver=4,NOC,,,,,,,,,,
Arun District Council,,England,"160,758",13 Nov 2019,2030,,Declared CE,,https://www.bognorregispost.co.uk/2019/08/arun-looks-at-reducing-carbon-emissions-before-its-too-late/,https://www.arun.gov.uk/carbon-neutral-strategy,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n15102.pdf&ver=15507,,NOC,,,,,,,,,,
Arundel Town Council,,England,"3,475",14 Oct 2021,,,Declared CE,https://drive.google.com/drive/u/0/folders/1LZz54Ujl2yec_TZAYUAyVRYJ_y793tu3,,,https://www.arundeltowncouncil.gov.uk/arundel-town-council-declares-a-climate-emergency/,,,,,,,,,,,,
Ashburton Town Council,,England,"4,170",12 Mar 2019,,2050,Declared CE,https://drive.google.com/file/d/17dzfK3EX_jKRGTziEA2Y-arn0qxm15yW/view,https://www.middevonadvertiser.co.uk/article.cfm?id=118463&headline=CLIMATE%20CHANGE:%20Ashburton%20meeting%20explains%20what%20you%20can%20do%20to%20help&sectionIs=news&searchyear=2019,,,,,,,,,,,,,,
Avon Dassett Parish Council,,England,210,6 Nov 2023,,,Declared CE,https://www.avondassettparishcouncil.com/app/download/13747675/20230611+Avon+Dassett+PC+Minutes+6.11.2023+draft.pdf,,,https://www.avondassettparishcouncil.com/climate-emergency/,,,,,,,,,,,,
Aylesbury Town Council,,England,"58,740",12 Sep 2019,2030,,Recognised CE,https://www.aylesburytowncouncil.gov.uk/?wpfb_dl=1417,,,,https://www.aylesburytowncouncil.gov.uk/?wpfb_dl=1377,,,,,,,,,,,
Aylesbury Vale District Council,,England,"199,448",18 Sep 2019,2030,,Declared CE,"https://buckinghamshire.moderngov.co.uk/Data/BCC%20County%20Council/201909260930/Agenda/motion%20to%20council-climate%20change%20sept%2019,%20item%207..pdf#search=%22climate%20emergency%22",,,,https://democracy.aylesburyvaledc.gov.uk/documents/s14581/New%20NOM%20-%20Climate%20Change.pdf,Conservative,,,,,,,,,,
Aylsham Town Council,,England,"8,200",10 Aug 2021,2030,2030,Declared CE,https://11ff7b6e-1b3e-48fc-882b-d65ccaea06ee.filesusr.com/ugd/a67ca0_e2ebd4194e3842dd87df636f0ef1e395.pdf,https://www.northnorfolknews.co.uk/news/aylsham-climate-emergency-declaration-8275782?fr=operanews,https://www.aylsham-tc.gov.uk/aylsham-climate-emergency,,,,,,,,,,,,,
Babergh District Council,,England,"91,401",23 Jul 2019,2030,2030,Acknowledged CE,https://baberghmidsuffolk.moderngov.co.uk/ieListDocuments.aspx?CId=153&MId=2503&Ver=4,https://www.eadt.co.uk/news/suffolk-councils-join-in-declaring-climate-emergencies-1-6183378,https://data.climateemergency.uk/media/data/plans/babergh-district-council-abfcb72.pdf,,https://baberghmidsuffolk.moderngov.co.uk/documents/g2503/Public%20reports%20pack%2023rd-Jul-2019%2017.30%20Babergh%20Council.pdf?T=10,NOC,,,,,,,,,,
Barking and Dagenham Council,,England,"211,998",29 Jan 2020,2030,2030,Declared CE,http://modgov.lbbd.gov.uk/internet/documents/g10450/Printed%20minutes%20Wednesday%2029-Jan-2020%2019.00%20Assembly.pdf?T=1,,https://data.climateemergency.uk/media/data/plans/london-borough-of-barking-and-dagenham-33ed167.pdf,https://www.lbbd.gov.uk/news/barking-and-dagenham-council-declares-climate-emergency,https://modgov.lbbd.gov.uk/internet/documents/s136142/Appendix%203%20-%20Motion%20-%20Declare%20a%20Climate%20Emergency.pdf,Labour,Labour (51) - all ,,,,,,,,,
Barnet Council,,England,"395,869",24 May 2022,2030,2042,Declared CE,,https://www.times-series.co.uk/news/20165862.barnet-labour-declares-climate-emergency-amid-council-shakeup/,,https://www.barnet.gov.uk/news/new-leader-barnet-council-appointed-declares-immediate-climate-emergency,,Labour,"Labour 41, Conservative 22",,,,,,,,,
Barnsley Metropolitan Borough Council,,England,"245,199",18 Sep 2019,2040,2045,Declared 'CE',https://barnsleymbc.moderngov.co.uk/documents/g5841/Printed%20minutes%2026th-Sep-2019%2010.30%20Full%20Council.pdf?T=1,https://www.climateemergency.uk/blog/barnsley/,https://www.barnsley.gov.uk/services/our-council/helping-our-environment/reducing-carbon-emissions/,,,Labour,"Labour (49), Liberal Democrat (4), Conservative (3), Barnsley Independent Group (3), Democrats and Veterans (2), Independents (2)",,,,,,,,,
Barnstaple Town Council,,England,"24,033",22 Jul 2019,,2030,Declared 'CE',https://barnstapletowncouncil.gov.uk/_webedit/uploaded-files/All%20Files/Minutes%20%26%20Agendas/Town%20Council/2019.07.22%20Full%20Council%20Signed%20Minutes.pdf,,,,https://barnstapletowncouncil.gov.uk/_webedit/uploaded-files/All%20Files/Minutes%20&%20Agendas/Environment%20Committee/2019.07.08%20-%20Environment%20Committee%20Agenda%20Pack.pdf,,,,,,,,,,,
Barrow Borough Council,,England,"67,137",16 Jul 2019,,2037,Declared CE,https://democracy.barrowbc.gov.uk/documents/g329/Printed%20minutes%2016th-Jul-2019%2017.30%20Barrow%20Borough%20Council.pdf?T=1,https://www.huddlehub.co.uk/post/councillors-pass-climate-emergency-motion-to-move-towards-a-zero-carbon-council,https://www.climateemergency.uk/wp-content/uploads/2020/09/Barrow-Borough-Council-Climate-Change-Policy-and-Action-Plan.pdf,,https://democracy.barrowbc.gov.uk/documents/g329/Public%20reports%20pack%2016th-Jul-2019%2017.30%20Barrow%20Borough%20Council.pdf?T=10,Labour,,,,,,,,,,
Basingstoke and Deane Borough Council,,England,"175,729",18 Jul 2019,2025,2030,Declared 'CE',https://democracy.basingstoke.gov.uk/documents/g1441/Public%20minutes%2018th-Jul-2019%2018.30%20Council.pdf?T=11,https://www.basingstokegazette.co.uk/news/17803360.basingstoke-deane-borough-councillors-declare-climate-crisis/,https://www.basingstoke.gov.uk/climatechange,,https://democracy.basingstoke.gov.uk/documents/b4416/Council%20Updates%20Amendments%20and%20Questions%2018th-Jul-2019%2018.30%20Council.pdf?T=9,Conservative,"Conservative Party 29, Labour Party 13, Liberal Democrats 7, Independent 11 ",,,,,,,,,
Bath and North East Somerset Council (UA),,England,"192,106",14 Mar 2019,2030,2030,Declared CE,https://democracy.bathnes.gov.uk/documents/g5196/Public%20minutes%2014th-Mar-2019%2018.30%20Council.pdf?T=11,https://climateemergency.uk/blog/bath-north-east-somerset/,https://data.climateemergency.uk/media/data/plans/bath-and-north-east-somerset-council-f749e7b.pdf,https://www.bathecho.co.uk/news/politics/detailed-update-carbon-neutral-before-councillors-89011/,,Lib Dem,,,,,,,,,Yes,
Beaudesert & Henley In Arden Parish Council,,England,990,7 Nov 2022,,,Declared 'CE',https://www.henley-in-arden-pc.gov.uk/agendas-minutes-2022/,https://www.stratford-herald.com/news/parish-moves-to-set-climate-change-targets-9283995/,,,,,,,,,,,,,,
Bedford Borough Council (UA),,England,"171,623",5 Mar 2019,2030,,Declared CE,http://www.councillorsupport.bedford.gov.uk/documents/g4855/Printed%20minutes%2005th-Mar-2019%2018.30%20Executive.pdf?T=1,https://www.bedfordindependent.co.uk/bedford-borough-council-declares-climate-emergency/,https://data.climateemergency.uk/media/data/plans/bedford-borough-council-c6c4128.pdf,,,NOC,"Liberal Democrats (15), Labour Party (11), Conservative Party (11), Green Party (2), Independent (1)
",,,,,,,,,
Belfast City Council,,Northern Ireland,"341,877",1 Oct 2019,asap (80% 2030),80% by 2030,Declared CE,https://minutes3.belfastcity.gov.uk/documents/g9418/Printed%20minutes%2001st-Oct-2019%2018.00%20Council.pdf?T=1,https://www.belfastlive.co.uk/news/belfast-news/belfast-city-council-vote-declare-17015417,https://pcancities.org.uk/sites/default/files/Belfast%20Net-Zero%20Carbon%20Roadmap.pdf,,,NOC,"Sinn Féin (18), DUP (15), Alliance (10), SDLP (6), Green (NI) (4), People Before Profit (3), UUP (2), PUP (2)",,,,,,,,Yes,
Berkhamsted Town Council,,England,"18,500",10 Jun 2019,,2030,Declared CE,https://www.berkhamstedtowncouncil.gov.uk/uploads/full-council-minutes-10-06-19.pdf?v=1560514037,,,https://www.berkhamstedtowncouncil.gov.uk/declaration,,,,,,,,,,,,
Bickleigh Parish Council,,England,239,19 Dec 2019,2030,2050 at latest,Declared CE,https://devonclimateemergency.org.uk/wp-content/uploads/2021/02/BPC-Minutes-19.12.19.pdf,,,,,,,,,,,,,,,
Bideford Town Council,,England,"17,107",7 Mar 2019,,,Declared 'CE',https://www.bideford-tc.gov.uk/home-council-documents/minutes-of-meetings/town-council-meetings/908-town-council-minutes-7-march-2019,https://www.facebook.com/JamesCraigie4Torrington/posts/2228121174070063,,,,,,,,,,,,,,
Bingley Town Council,,England,"18,294",28 May 2019,2030,,Acknowledged CE,https://bingleytowncouncil.gov.uk/documents/full-council-minutes-20190528/?wpdmdl=31721&refresh=601e07b3321301612580787,,,,,,,,,,,,,,,
Birchwood Town Council,,England,"12,325",26 Mar 2019,2030,,Declared CE,https://www.birchwoodtowncouncil.org.uk/images/stories/2019-main-minutes/bwd-mins-march-2019.pdf,,https://www.birchwoodtowncouncil.org.uk/images/birchwood-climate-emergency-plan-january-2020.pdf,,,,,,,,,,,,,
Birmingham City Council,,England,"1,141,374",11 Jun 2019,2030,2030,Declared CE,https://birmingham.cmis.uk.com/Birmingham/Document.ashx?czJKcaeAi5tUFL1DTL2UE4zNRBcoShgo=Ufn3mfoSvCiLt4dnXdsBYVEkXHQ6Epxw7R0%2bpsGfgqxNYIAHLOJtcw%3d%3d&rUzwRPf%2bZ3zd4E7Ikn8Lyw%3d%3d=pwRE6AGJFLDNlh225F5QMaQWCtPHwdhUfCZ%2fLUQzgA2uL5jNRG4jdQ%3d%3d&mCTIbCubSFfXsDGW9IXnlg%3d%3d=hFflUdN3100%3d&kCx1AnS9%2fpWZQ40DXFvdEw%3d%3d=hFflUdN3100%3d&uJovDxwdjMPoYv%2bAJvYtyA%3d%3d=ctNJFf55vVA%3d&FgPlIEJYlotS%2bYGoBi5olA%3d%3d=NHdURQburHA%3d&d9Qjj0ag1Pd993jsyOJqFvmyB7X0CSQK=ctNJFf55vVA%3d&WGewmoAfeNR9xqBux0r1Q8Za60lavYmz=ctNJFf55vVA%3d&WGewmoAfeNQ16B2MHuCpMRKZMwaG1PaO=ctNJFf55vVA%3d,https://climateemergency.uk/blog/birmingham/,https://data.climateemergency.uk/councils/birmingham-city-council/,,,Labour,"Labour (67), Conservative (25), Liberal Democrat (8), Green (1)",,Yes,Yes,,,,,Yes,Yes
Bishopsteignton Parish Council,,England,"2,570",13 May 2019,,,Declared CE,https://www.bishopsteignton-pc.gov.uk/wp-content/uploads/2019/07/190513-MINS-APPROVED-WEBSITE.pdf,,https://www.bishopsteignton-pc.gov.uk/wp-content/uploads/2021/03/ADOPTED-210301-V1.0-BPC-Climate-and-Ecological-Action-plan.pdf,,,,,,,,,,,,,
Blackburn with Darwen Borough Council,,England,"148,942",18 Jul 2019,2030,2030,Declared 'CE',https://democracy.blackburn.gov.uk/documents/s7480/Minutes%20July%202019.pdf,https://www.climateemergency.uk/blog/blackburn-with-darwen/,https://data.climateemergency.uk/councils/blackburn-with-darwen-borough-council/,,,Labour,,,,,,,,,,
Blackpool Council,,England,"139,720",26 Jun 2019,2030,2030,Declared 'CE',http://democracy.blackpool.gov.uk/documents/g5519/Printed%20minutes%2026th-Jun-2019%2018.00%20Council.pdf?T=1,https://www.blackpoolgazette.co.uk/news/blackpool-council-says-no-frackers-it-declares-climate-emergency-959840,https://data.climateemergency.uk/media/data/plans/blackpool-borough-council-0e9b296.pdf,,http://democracy.blackpool.gov.uk/documents/g5519/Public%20reports%20pack%2026th-Jun-2019%2018.00%20Council.pdf?T=10,Labour,,,,,,,,,,
Blaenau Gwent County Borough Council,,Wales,"69,713",24 Sep 2020,2030,,Declared CE,http://democracy.blaenau-gwent.gov.uk/documents/g2164/Printed%20minutes%2024th-Sep-2020%2010.00%20Ordinary%20Meeting%20of%20the%20Council.pdf?T=1&LLL=0,,https://data.climateemergency.uk/media/data/plans/blaenau-gwent-county-borough-council-23aadef.pdf,https://www.blaenau-gwent.gov.uk/en/story/news/blaenau-gwent-council-declares-climate-emergency-and-agrees-plan-to-reduce-carbon-footprint/,,Independent,"Independent 28, Labour 13, Plaid Cymru 1 ",,,,,,,,,
Bollington Town Council,,England,"7,885",2 Jun 2019,,2030,Declared 'CE',https://www.cedamia.org/wp-content/uploads/2019/07/Bollington-Council-Minutes-2-June.pdf,,,,,,,,,,,,,,,
Bolton Metropolitan Borough Council,,England,"285,372",29 Aug 2019,2030,2030,Declared CE,http://democracy.bolton.gov.uk/CMIS5/Document.ashx?czJKcaeAi5tUFL1DTL2UE4zNRBcoShgo=rlM2JCt0swoFg0W7hcnyRrC3kIO0c2rsENlmZ2IfZWt44YMGVoOY6g%3d%3d&rUzwRPf%2bZ3zd4E7Ikn8Lyw%3d%3d=pwRE6AGJFLDNlh225F5QMaQWCtPHwdhUfCZ%2fLUQzgA2uL5jNRG4jdQ%3d%3d&mCTIbCubSFfXsDGW9IXnlg,https://www.theboltonnews.co.uk/news/17872694.bolton-council-declare-climate-emergency/,https://www.bolton.gov.uk/news/article/1260/bolton-council-adopts-climate-change-strategy,,,NOC,,,,,,,,,,
Boston Borough Council,,England,"64,637",20 Jan 2020,,,Climate & Environment,https://moderngov.boston.gov.uk/documents/g1489/Printed%20minutes%2020th-Jan-2020%2018.30%20Full%20Council.pdf?T=1,https://www.lincs-chamber.co.uk/boston-borough-council-declares-climate-emergency/,,,https://moderngov.boston.gov.uk/documents/g1489/Public%20reports%20pack%2020th-Jan-2020%2018.30%20Full%20Council.pdf?T=10,Conservative,,,,,,,,,,
"Bournemouth, Christchurch and Poole Council",,England,"395,784",16 Jul 2019,2030,before 2050,climate & ecological,https://democracy.bcpcouncil.gov.uk/documents/g3731/Printed%20minutes%2016th-Jul-2019%2019.00%20Council.pdf?T=1,https://www.climateemergency.uk/blog/bournemouth-christchurch-poole/,https://www.climateemergency.uk/blog/bournemouth-christchurch-poole-2/,,,NOC,,,,Yes,,,,,,
Bovey Tracey Town Council,,England,"4,729",1 Jul 2019,2025,,Declared CE,https://boveytracey.s3.amazonaws.com/media/towncouncil/Councilmtgmins1.7.19.pdf,,,,https://boveytracey.s3.amazonaws.com/media/towncouncil/FullCouncilAgenda01.07.19.pdf,,,,,,,,,,,
Bradford District Council (UA),,England,"537,173",15 Jan 2019,2030,90% by 2030,Declared 'CE',https://bradford.moderngov.co.uk/mgAi.aspx?ID=10277,,https://data.climateemergency.uk/media/data/plans/bradford-metropolitan-district-council-ee448ea.pdf,https://www.bradford.gov.uk/browse-all-news/press-releases/bradford-council-to-invest-an-extra-25m-to-tackle-climate-change/,,Labour,,,,,,,,,Yes,
Bradford-on-Avon Town Council,,England,"9,402",5 Mar 2019,,2030,Declared 'CE',https://www.dropbox.com/sh/ksoj7cdgtoqv4xd/AAAVkVBvgPV5GUMvUL15ZXRma/2018_19%20Full%20Council_Minutes?dl=0&preview=2019.03.05_FC+Minutes.pdf&subfolder_nav_tracking=1,,,https://bradfordonavontowncouncil.gov.uk/climate-emergency-declared-by-town-council/,,,,,,,,,,,,
Braintree District Council,,England,"151,561",22 Jul 2019,2030,2030,Declared 'CE',https://braintree.cmis.uk.com/braintree/Document.ashx?czJKcaeAi5tUFL1DTL2UE4zNRBcoShgo=JTpLMitM57EBL86sJ32T%2fBuf1dZUfp2kDfSpfDBu%2bw9Vyxgc945jMQ%3d%3d&rUzwRPf%2bZ3zd4E7Ikn8Lyw%3d%3d=pwRE6AGJFLDNlh225F5QMaQWCtPHwdhUfCZ%2fLUQzgA2uL5jNRG4jdQ%3d%3d&mCTIbCubSFfXsDGW9IXnlg%3d%3d=hFflUdN3100%3d&kCx1AnS9%2fpWZQ40DXFvdEw%3d%3d=hFflUdN3100%3d&uJovDxwdjMPoYv%2bAJvYtyA%3d%3d=ctNJFf55vVA%3d&FgPlIEJYlotS%2bYGoBi5olA%3d%3d=NHdURQburHA%3d&d9Qjj0ag1Pd993jsyOJqFvmyB7X0CSQK=ctNJFf55vVA%3d&WGewmoAfeNR9xqBux0r1Q8Za60lavYmz=ctNJFf55vVA%3d&WGewmoAfeNQ16B2MHuCpMRKZMwaG1PaO=ctNJFf55vVA%3d,,https://www.braintree.gov.uk/info/200332/what_the_council_is_doing/174/what_is_the_council_doing,,https://braintree.cmis.uk.com/braintree/Document.ashx?czJKcaeAi5tUFL1DTL2UE4zNRBcoShgo=DiyVJ%2fH2nJScKR9zgZWsT%2bTxI%2fVtdc%2fGRlZCIPimPTPnUhkutaiR8g%3d%3d&rUzwRPf%2bZ3zd4E7Ikn8Lyw%3d%3d=pwRE6AGJFLDNlh225F5QMaQWCtPHwdhUfCZ%2fLUQzgA2uL5jNRG4jdQ%3d%3d&mCTIbCubSFfXsDGW9IXnlg%3d%3d=hFflUdN3100%3d&kCx1AnS9%2fpWZQ40DXFvdEw%3d%3d=hFflUdN3100%3d&uJovDxwdjMPoYv%2bAJvYtyA%3d%3d=ctNJFf55vVA%3d&FgPlIEJYlotS%2bYGoBi5olA%3d%3d=NHdURQburHA%3d&d9Qjj0ag1Pd993jsyOJqFvmyB7X0CSQK=ctNJFf55vVA%3d&WGewmoAfeNR9xqBux0r1Q8Za60lavYmz=ctNJFf55vVA%3d&WGewmoAfeNQ16B2MHuCpMRKZMwaG1PaO=ctNJFf55vVA%3d,Conservative,,,,,,,,,,
Braunton Parish Council,,England,"7,353",10 Jun 2019,,2023,Declared 'CE',,,,,http://www.brauntonparishcouncil.gov.uk/Braunton-PC/UserFiles/Files/Attch2%20100619.pdf,,,,,,,,,,,
Breckland Council,,England,"139,329",19 Sep 2019,2030,2035,Declared CE,https://democracy.breckland.gov.uk/documents/g4454/Printed%20minutes%2019th-Sep-2019%2010.00%20Council.pdf?T=1,https://www.thetfordandbrandontimes.co.uk/news/breckland-council-declares-climate-emergency-1-6280687,https://www.breckland.gov.uk/article/16484/Current-and-Future-actions,,,Conservative,,,,,,,,,,
Brent London Borough Council,,England,"330,795",8 Jul 2019,2030,2030,Declared CE,http://democracy.brent.gov.uk/documents/g5336/Decisions%20Monday%2008-Jul-2019%2018.00%20Council.pdf?T=2,,http://democracy.brent.gov.uk/documents/s104356/7a.%20Appendix%201%20-Draft%20Brent%20Climate%20Emergency%20Strategy%202021-2030.pdf?_ga=2.217869845.242390294.1605171603-58686564.1604209157,,http://democracy.brent.gov.uk/documents/s85949/16.3.%20Motion%20-%20Labour%20Group%202.pdf,Labour,"Labour (59), Conservative (3), Lib Dems (1)",Yes,,Yes,,,,,,
Brentwood Borough Council,,England,"77,047",21 Jun 2023,2030,2050 or earlier,Declared CE,,https://www.yellowad.co.uk/brentwood-council-declares-climate-emergency/,,,https://brentwood.moderngov.co.uk/ieListDocuments.aspx?CId=128&MID=2422,NOC,,,,,,,,,,
Bridgend County Borough Council,,Wales,"147,539",22 Jul 2020,2030,,Declared CE,https://democratic.bridgend.gov.uk/ieListDocuments.aspx?CId=142&MId=3853&Ver=4&LLL=0,,https://data.climateemergency.uk/media/data/plans/bridgend-county-borough-council-e9ce027.pdf,https://www.bridgend.gov.uk/news/council-launches-consultation-as-part-of-net-zero-2030-target/,,Labour,"Labour 27, Independent 21, Plaid Cymru 2, Conservative 1 ",,,,,,,,,
Bridgnorth Town Council,,England,"12,079",18 Jun 2019,2030,,Recognised CE,https://www.bridgnorthtowncouncil.gov.uk/featured/2019/06/climate-change-emergency-recognised/,,,,,,,,,,,,,,,
Bridgwater Town Council,,England,"41,276",14 Mar 2019,,2030,Declared CE,https://bridgwater-tc.gov.uk/wp-content/uploads/meeting/council/Council-Minutes-14_3_19.pdf,https://somersetlabour.co.uk/news/bridgwater/bridgwater-town-council-passes-climate-change-emergency-motion/,,,,,,,,,,,,,,
Bridport Town Council,,England,"13,568",16 May 2019,2030,2030,Declared 'CE',https://www.bridport-tc.gov.uk/wp-content/uploads/2019/06/M-16-05-19.pdf,https://www.bridportnews.co.uk/news/17657183.bridport-town-council-takes-action-on-its-climate-emergency-declaration/,https://www.bridport-tc.gov.uk/wp-content/uploads/2019/11/Climate-Emergency-Action-Plan-FINAL-v5-following-Full-Council-approval.pdf,,https://www.bridport-tc.gov.uk/wp-content/uploads/2019/05/A-16-05-19.pdf,,,,,,,,,,,
Brighton and Hove City Council (UA),,England,"290,395",13 Dec 2018,2030,2030,Climate & Biodiversity,https://present.brighton-hove.gov.uk/Published/C00000117/M00008150/$$$Minutes.doc.pdf,,https://www.brighton-hove.gov.uk/climate-change/what-were-doing,,,NOC,,,,Yes,,,,,Yes,Yes
Bristol City Council (UA),,England,"463,400",13 Nov 2018,2025,2030,Declared 'CE',https://www.cedamia.org/wp-content/uploads/2018/12/Bristol-Public-minutes-13112018-1800-Full-Council.pdf,https://www.theguardian.com/uk-news/2018/nov/14/bristol-plans-to-become-carbon-neutral-by-2030,https://www.bristolonecity.com/wp-content/uploads/2020/02/one-city-climate-strategy.pdf,,,Labour,"Labour (36), Conservative (14), Green (11), Liberal Democrat (9)",,Yes,Yes,Yes,,,,Yes,
Brixham Town Council,,England,"16,693",20 Jun 2019,,2030,Declared 'CE',https://www.cedamia.org/ced-regions-in-uk/,,,,,,,,,,,,,,,
Brixton Parish Council,,England,"1,207",25 Sep 2019,,,Declared CE,https://v6admin.visionict.com/Sites/189/_UserFiles/Files/_Minutes/61880-signed_September_2019.pdf,,,,,,,,,,,,,,,
